generation,total_predators,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
195,24056,133474.89,2.0070262,0.956766,0,48281.023,23015.963,0,5.548507
196,25646,168413.28,2.0349865,0.9507931,0,52189.26,24384.04,0,6.566844
197,31077,216104.1,2.1902118,0.9348711,0,68065.21,29052.988,0,6.9538274
198,28952,165733.06,2.21417,0.92368734,0,64104.652,26742.596,0,5.724408
199,25033,147351.52,2.066192,0.91509086,0,51722.984,22907.469,0,5.8862906
200,27890,185794.95,1.9528521,0.91060483,0,54465.047,25396.77,0,6.661705
201,33709,240448.42,1.8708224,0.8966598,0,63063.555,30225.506,0,7.133063
202,31116,189920.2,1.6914662,0.89601815,0,52631.664,27880.5,0,6.1036186
203,27653,175197.36,1.5758646,0.8909918,0,43577.383,24638.596,0,6.335564
204,33840,236083.14,1.6792412,0.87769556,0,56825.523,29701.219,0,6.9764524
205,30955,190790.2,1.6234802,0.8830329,0,50254.83,27334.283,0,6.16347
206,36869,268212.56,1.6294324,0.87905174,0,60075.543,32409.758,0,7.2747445
207,33833,195078.7,1.6999575,0.8799219,0,57514.66,29770.398,0,5.7659297
208,27601,172993.16,1.6083751,0.89062583,0,44392.76,24582.164,0,6.267641
209,33282,221590.06,1.5160753,0.8886769,0,50458.016,29576.943,0,6.657955
210,29008,156866.9,1.6040539,0.89034504,0,46530.395,25827.129,0,5.407712
211,30010,207920.06,1.7642453,0.87551975,0,52945,26274.348,0,6.9283595
212,38080,256948.14,1.6818771,0.8521356,0,64045.883,32449.324,0,6.7475877
213,32784,182033.95,1.6660327,0.8505754,0,54619.215,27885.264,0,5.552524
214,35717,236336.8,1.6582714,0.85384446,0,59228.48,30496.764,0,6.6169276
215,30889,184587.44,1.6146338,0.85894763,0,49874.42,26532.033,0,5.975831
216,34847,229594,1.6917812,0.8573702,0,58953.5,29876.78,0,6.58863
217,29908,169211.66,1.6290431,0.87044793,0,48721.42,26033.357,0,5.657739
218,32020,229105.77,1.7019662,0.87898827,0,54496.957,28145.205,0,7.155083
219,40721,302550.56,1.8025347,0.8669756,0,73401.016,35304.113,0,7.429841
220,35712,205939.83,1.7438353,0.8773677,0,62275.848,31332.555,0,5.766684
221,38841,269240.03,1.4543817,0.8894314,0,56489.64,34546.406,0,6.9318514
222,33479,216906.17,1.3728817,0.89889497,0,45962.703,30094.105,0,6.4788723
223,39719,304184.78,1.4217895,0.89969224,0,56472.06,35734.875,0,7.65842
224,35885,210830.97,1.4405967,0.90265524,0,51695.813,32391.783,0,5.8751836
225,39215,267028.28,1.691047,0.9143714,0,66314.41,35857.074,0,6.8093405
226,33279,216854.17,1.5772792,0.9247548,0,52490.273,30774.914,0,6.516247
227,39619,295757.16,1.0754027,0.92636347,0,42606.383,36701.594,0,7.4650335
228,35245,214163.75,0.59972775,0.93506,0,21137.404,32956.19,0,6.0764294
229,39672,280117.5,-0.20177406,0.94687265,0,-8004.7803,37564.332,0,7.0608363
230,34255,209160.08,-0.3806081,0.9629511,0,-13037.73,32985.89,0,6.1059723
231,38818,271990.66,-1.152655,0.9918047,0,-44743.76,38499.875,0,7.006818
232,34339,221521.19,-1.2034346,0.9996873,0,-41324.742,34328.26,0,6.451009
233,40896,319353.66,-1.3831081,0.99291974,0,-56563.59,40606.445,0,7.8089213
234,37383,258961.13,-1.286257,0.99256504,0,-48084.15,37105.06,0,6.927243
235,47925,403654.75,-1.5739558,0.984565,0,-75431.83,47185.277,0,8.422634
236,45632,309881.78,-1.6303873,0.9796853,0,-74397.836,44705,0,6.7908874
237,36738,264678.1,-1.6351738,0.9850708,0,-60073.016,36189.53,0,7.2044773
238,47593,394016.84,-2.0952382,1.017013,0,-99718.67,48402.7,0,8.278882
239,43702,305648.66,-2.442299,1.0246708,0,-106733.34,44780.164,0,6.9939284
240,36176,242578.13,-2.6551437,1.0225987,0,-96052.48,36993.53,0,6.7054987
241,41490,342315.06,-3.7884855,1.0900666,0,-157184.27,45226.86,0,8.250544
242,38695,282354.5,-3.9118333,1.0940547,0,-151368.39,42334.445,0,7.2969246
243,49257,418455.44,-4.5251036,1.1039249,0,-222893.03,54376.027,0,8.49535
244,46979,351382.63,-4.5233803,1.0959834,0,-212503.89,51488.203,0,7.479568
245,39059,332464.1,-3.9898608,1.0664726,0,-155839.97,41655.355,0,8.511844
246,54530,497950.03,-5.118444,1.0893594,0,-279108.75,59402.766,0,9.131671
247,51533,422114.53,-5.257983,1.0902991,0,-270959.66,56186.383,0,8.19115
248,43706,427056.5,-4.829734,1.0577497,0,-211088.34,46230.01,0,9.771118
249,66476,642400.75,-5.6829257,1.0636065,0,-377778.16,70704.305,0,9.66365
250,63605,541263.5,-5.777441,1.059931,0,-367474.13,67416.914,0,8.509764
251,54197,548764.2,-5.3186536,1.0245031,0,-288255.06,55524.992,0,10.1253605
252,50313,532056.25,-5.1529427,1.0098939,0,-259260,50810.79,0,10.574926
253,46597,519457.6,-5.1797934,1.0085131,0,-241362.83,46993.684,0,11.147877
254,71616,815896.06,-6.1860685,1.0250107,0,-443021.47,73407.164,0,11.392651
255,70636,710008.25,-6.1687546,1.022044,0,-435736.16,72193.09,0,10.051648
256,64160,679219.7,-5.6984773,0.9858166,0,-365614.3,63249.992,0,10.586342
257,58301,678938.7,-5.626687,0.98375946,0,-328041.47,57354.16,0,11.645404
258,53261,657958.2,-5.509021,0.9818294,0,-293415.97,52293.215,0,12.353471
259,49549,635645.1,-5.3805375,0.9830629,0,-266600.25,48709.785,0,12.828617
260,74036,879328.1,-6.4943724,1.0174712,0,-480817.34,75329.5,0,11.877034
261,69334,752257.1,-6.677069,1.0300518,0,-462947.9,71417.62,0,10.849758
262,57840,679182.3,-6.283451,1.0155352,0,-363434.8,58738.56,0,11.742433
263,46404,624071.4,-6.5348625,1.0499016,0,-303243.75,48719.637,0,13.448655
264,62564,847051.5,-8.70456,1.1382962,0,-544592.1,71216.37,0,13.53896
265,58221,662332.7,-9.050142,1.154261,0,-526908.3,67202.23,0,11.376182
266,40409,625698.06,-9.346124,1.1982878,0,-377667.53,48421.613,0,15.484126
267,57520,831142.1,-11.763124,1.2790769,0,-676614.94,73572.51,0,14.449619
268,53490,687192.9,-12.0584,1.2972594,0,-645003.8,69390.41,0,12.847128
269,39762,670086.5,-11.21475,1.2802433,0,-445920.9,50905.035,0,16.852434
270,58592,899374.6,-13.641227,1.350601,0,-799266.75,79134.414,0,15.349786
271,55709,798954.2,-13.696898,1.3535756,0,-763040.5,75406.34,0,14.341564
272,45617,816918.9,-11.933765,1.2674657,0,-544382.56,57817.984,0,17.90821
273,72743,1083853.8,-13.65658,1.2903451,0,-993420.56,93863.57,0,14.899767
274,68349,949040.3,-13.846254,1.2977632,0,-946377.6,88700.82,0,13.885211
275,54485,943731.4,-12.133315,1.2240198,0,-661083.7,66690.72,0,17.32094
276,46167,968521.7,-12.1953535,1.2373587,0,-563022.9,57125.14,0,20.978657
277,73433,1310071.6,-14.612703,1.286781,0,-1073054.6,94492.19,0,17.840366
278,70620,1156944.5,-14.768897,1.2912399,0,-1042979.5,91187.36,0,16.382675
279,58013,1152358.4,-13.356575,1.2313595,0,-774855,71434.86,0,19.863796
280,51155,1121903.8,-13.12873,1.2271615,0,-671600.2,62775.45,0,21.931458
281,72693,1459662.1,-17.039684,1.3515292,0,-1238665.8,98246.72,0,20.079817
282,67990,1298087.4,-17.56318,1.3741866,0,-1194120.6,93430.95,0,19.092327
283,56076,1351073.9,-15.90466,1.3098769,0,-891869.75,73452.66,0,24.09362
284,51436,1407173.3,-15.3801365,1.2817854,0,-791092.7,65929.914,0,27.35775
285,84059,1815377.4,-17.937502,1.3270615,0,-1507808.5,111551.47,0,21.596466
286,80550,1551024.3,-18.124037,1.3320446,0,-1459891.1,107296.195,0,19.255423
287,60105,1569061.5,-17.612886,1.3243506,0,-1058622.5,79600.09,0,26.105341
288,51317,1592523,-17.781809,1.333495,0,-912509.06,68430.96,0,31.033049
289,78887,1963960.8,-21.816061,1.4315954,0,-1721003.6,112934.266,0,24.895874
290,73406,1720839.1,-22.51865,1.4614723,0,-1653004,107280.836,0,23.442759
291,55379,1755351.8,-21.573128,1.4440873,0,-1194698.3,79972.11,0,31.697065
292,82903,2157930.5,-25.74647,1.5416021,0,-2134459.5,127803.445,0,26.029583
293,78612,1955564.1,-26.050812,1.5495625,0,-2047906.4,121814.2,0,24.876152
294,62193,2039587.3,-23.498667,1.4541444,0,-1461452.6,90437.6,0,32.794483
295,55706,2120922.3,-22.774145,1.4222832,0,-1268656.5,79229.7,0,38.073498
296,86598,2644637.3,-27.401651,1.5283389,0,-2372928.3,132351.1,0,30.539242
297,83646,2386099.3,-27.56835,1.5278013,0,-2305982.3,127794.46,0,28.526161
298,66858,2500708.8,-25.480656,1.4526035,0,-1703585.6,97118.164,0,37.403282
299,60504,2631928.3,-24.846935,1.4251736,0,-1503339,86228.7,0,43.50007
300,101205,3308469.8,-28.370985,1.4784548,0,-2871285.5,149627.02,0,32.690773
301,99273,2986199.3,-28.201895,1.4692665,0,-2799686.8,145858.5,0,30.080679
302,82342,3000872,-25.637375,1.3799096,0,-2111032.8,113624.52,0,36.444
303,70242,3224746.8,-25.847841,1.3878274,0,-1815604,97483.77,0,45.909096
304,66068,3365243.5,-25.566677,1.3716455,0,-1689139.3,90621.875,0,50.936058
305,59377,3578886.3,-26.1998,1.3980473,0,-1555665.5,83011.86,0,60.27395
306,101819,4357957.5,-30.03794,1.4521413,0,-3058433,147855.58,0,42.801025
307,100690,3932724.3,-29.987097,1.4449706,0,-3019400.8,145494.1,0,39.057743
308,83245,4064486.8,-28.5595,1.396876,0,-2377435.5,116282.945,0,48.825596
309,76621,4156684.5,-27.733522,1.3620365,0,-2124970.3,104360.59,0,54.24994
310,66510,4344981,-28.982254,1.4022033,0,-1927609.8,93260.54,0,65.32824
311,59418,4528860,-30.205626,1.4367083,0,-1794757.9,85366.336,0,76.22034
312,94669,5224901,-36.50877,1.5673475,0,-3456248.8,148379.22,0,55.191257
313,89760,4739814,-37.607056,1.5973997,0,-3375609.3,143382.6,0,52.805416
314,71087,4778801.5,-36.992325,1.5806801,0,-2629673.5,112365.81,0,67.224686
315,59493,4963873.5,-38.253197,1.623939,0,-2275797.5,96613.01,0,83.436264
316,97289,5729153,-44.052708,1.7161641,0,-4285844,166963.89,0,58.88798
317,94320,5089885.5,-44.222317,1.7168967,0,-4171049,161937.69,0,53.964012
318,70980,5238348.5,-43.39291,1.6971765,0,-3080028.8,120465.586,0,73.80035
319,64183,5535192,-42.464275,1.6634322,0,-2725484.5,106764.07,0,86.24078
320,111302,6500785,-47.079258,1.7040968,0,-5240015.5,189669.38,0,58.406723
321,108603,5830196.5,-47.09168,1.6996937,0,-5114297.5,184591.83,0,53.683567
322,86642,5898426.5,-44.35359,1.6264449,0,-3842883.5,140918.44,0,68.07814
323,69899,6211321.5,-46.351162,1.6872532,0,-3239900,117937.31,0,88.86138
324,58140,6540850.5,-49.174255,1.7698333,0,-2858991.3,102898.11,0,112.50173
325,90491,7456824,-59.13643,1.9444753,0,-5351314.5,175957.52,0,82.40404
326,88077,6869937.5,-59.403526,1.948393,0,-5232084.5,171608.61,0,77.99922
327,67288,7090059,-58.257847,1.9264914,0,-3920054,129629.75,0,105.36885
328,56486,7460621.5,-59.41751,1.9651726,0,-3356257.5,111004.74,0,132.07913
329,90485,8434459,-69.80935,2.1165104,0,-6316699,191512.44,0,93.21389
330,85847,7671384,-71.27855,2.1455827,0,-6119049.5,184191.83,0,89.36112
331,61937,7981735.5,-70.4539,2.1524093,0,-4363703.5,133313.78,0,128.86862
332,96414,9049322,-81.57919,2.2965438,0,-7865376,221418.97,0,93.859
333,89998,8247813,-83.143265,2.3299623,0,-7482727.5,209691.94,0,91.6444
334,67618,8659237,-76.51347,2.2087374,0,-5173688,149350.4,0,128.06113
335,109627,9997952,-85.252304,2.2714689,0,-9345954,249014.33,0,91.19972
336,103239,9185604,-86.64047,2.2920144,0,-8944676,236625.28,0,88.97417
337,76057,9613276,-81.02483,2.1931343,0,-6162506,166803.22,0,126.395676
338,64164,10382926,-80.97394,2.1915264,0,-5195612,140617.1,0,161.81856
339,104929,11924283,-93.24759,2.319587,0,-9784376,243391.95,0,113.64144
340,101135,11158054,-93.804565,2.3275402,0,-9486925,235395.77,0,110.328316
341,78231,11811535,-87.820335,2.2279642,0,-6870272.5,174295.86,0,150.98279
342,65503,12601207,-89.42591,2.266448,0,-5857665.5,148459.14,0,192.37602
343,101912,14345402,-105.98137,2.4347723,0,-10800773,248132.5,0,140.76263
344,98568,13354143,-106.71203,2.439195,0,-10518391,240426.56,0,135.48152
345,73500,14072055,-102.62577,2.3646832,0,-7542994,173804.2,0,191.45653
346,63921,15010277,-102.22622,2.346212,0,-6534402,149972.22,0,234.82544
347,104429,16893346,-117.03563,2.470359,0,-12221914,257977.14,0,161.76872
348,96293,15691959,-121.962975,2.5416152,0,-11744181,244739.77,0,162.96054
349,68116,16474784,-121.94013,2.5431838,0,-8306074,173231.52,0,241.86365
350,103157,18521344,-142.56175,2.7413013,0,-14706242,282784.4,0,179.5452
351,94413,17003944,-147.72585,2.8106563,0,-13947240,265362.5,0,180.10173
352,63018,17958724,-147.19563,2.8346784,0,-9275974,178635.77,0,284.9777
353,97654,20361204,-168.33945,3.008685,0,-16439020,293810.13,0,208.50354
354,88925,18996236,-175.31444,3.1063998,0,-15589836,276236.6,0,213.62086
355,63015,20157774,-165.98035,2.9870315,0,-10459252,188227.78,0,319.8885
356,90723,22948550,-200.27525,3.333982,0,-18169572,302468.84,0,252.95184
357,86262,21472916,-201.58617,3.3369768,0,-17389226,287854.28,0,248.92671
